date,close,sma20,sma50,signal,position,market_return,strategy_return,trade,equity_curve
2020-03-13,67.10291290283203,70.64275035858154,73.73339042663574,0,0.0,0.0,0.0,0.0,1.0
2020-03-16,58.4703483581543,69.64406471252441,73.45612045288085,0,0.0,-0.1286466439568439,-0.0,0.0,1.0
2020-03-17,61.04130172729492,68.84574375152587,73.24433311462403,0,0.0,0.043970207828975205,0.0,0.0,1.0
2020-03-18,59.5470085144043,67.91694374084473,72.99124496459962,0,0.0,-0.024480035166459135,-0.0,0.0,1.0
2020-03-19,59.09074783325195,67.0054048538208,72.73582298278808,0,0.0,-0.007662193156890096,-0.0,0.0,1.0
2020-03-20,55.3393440246582,65.99380493164062,72.38225311279297,0,0.0,-0.06348546847265879,-0.0,0.0,1.0
2020-03-23,54.163692474365234,65.10290470123292,71.9741510772705,0,0.0,-0.021244407049153313,-0.0,0.0,1.0
2020-03-24,59.59770202636719,64.60561428070068,71.67135749816894,0,0.0,0.10032568504397621,0.0,0.0,1.0
2020-03-25,59.269386291503906,64.03674716949463,71.33006370544433,0,0.0,-0.005508865672673502,-0.0,0.0,1.0
2020-03-26,62.3883171081543,63.854728317260744,71.07176315307618,0,0.0,0.052622964599474464,0.0,0.0,1.0
2020-03-27,59.80530548095703,63.5454906463623,70.7682569885254,0,0.0,-0.04140216865794666,-0.0,0.0,1.0
2020-03-30,61.51202392578125,63.01440200805664,70.48010025024413,0,0.0,0.028537910325826532,0.0,0.0,1.0
2020-03-31,61.386497497558594,62.591584014892575,70.17262298583984,0,0.0,-0.0020406811581116235,-0.0,0.0,1.0
2020-04-01,58.156524658203125,61.845285415649414,69.81095016479492,0,0.0,-0.052616991863461915,-0.0,0.0,1.0
2020-04-02,59.12696075439453,61.26603698730469,69.46324279785156,0,0.0,0.01668662462027859,0.0,0.0,1.0
2020-04-03,58.2772216796875,60.69125518798828,69.09117156982421,0,0.0,-0.014371431642440258,-0.0,0.0,1.0
2020-04-06,63.36116409301758,60.64659481048584,68.82521018981933,0,0.0,0.0872372132163961,0.0,0.0,1.0
2020-04-07,62.62730407714844,60.33385524749756,68.58965583801269,0,0.0,-0.011582173818520669,-0.0,0.0,1.0
2020-04-08,64.23023986816406,60.22087917327881,68.34406272888184,0,0.0,0.02559483941766083,0.0,0.0,1.0
2020-04-09,64.69374084472656,60.45938720703125,68.0757088470459,0,0.0,0.007216242341829382,0.0,0.0,1.0
2020-04-13,65.96351623535156,60.40241737365723,67.83501457214355,0,0.0,0.019627484421910646,0.0,0.0,1.0
2020-04-14,69.29487609863281,60.943643760681155,67.73011390686035,0,0.0,0.050503066746703906,0.0,0.0,1.0
2020-04-15,68.66238403320312,61.32469787597656,67.61665794372558,0,0.0,-0.009127544503137797,-0.0,0.0,1.0
2020-04-16,69.20796203613281,61.80774555206299,67.46503150939941,0,0.0,0.007945806289887392,0.0,0.0,1.0
2020-04-17,68.2688980102539,62.266653060913086,67.28210060119629,0,0.0,-0.013568728196166613,-0.0,0.0,1.0
2020-04-20,66.85188293457031,62.84228000640869,67.05271949768067,0,0.0,-0.02075637833601418,-0.0,0.0,1.0
2020-04-21,64.78546905517578,63.37336883544922,66.80330177307128,0,0.0,-0.03091033174663138,-0.0,0.0,1.0
2020-04-22,66.6515121459961,63.72605934143066,66.58386604309082,0,0.0,0.028803420242756284,0.0,0.0,1.0
2020-04-23,66.3932113647461,64.08225059509277,66.36863075256348,0,0.0,-0.003875392664523636,-0.0,0.0,1.0
